iter	Passed	Remaining
0	150	150685
1	152	76247
2	155	51520
3	156	38996
4	158	31525
5	159	26471
6	161	22971
7	164	20340
8	165	18222
9	167	16576
10	169	15204
11	171	14094
12	173	13155
13	174	12307
14	176	11597
15	178	10949
16	179	10403
17	181	9922
18	183	9461
19	184	9044
20	185	8666
21	187	8350
22	189	8063
23	191	7785
24	193	7528
25	194	7303
26	196	7082
27	198	6878
28	199	6695
29	201	6516
30	203	6347
31	205	6217
32	207	6081
33	210	5966
34	212	5846
35	213	5727
36	216	5624
37	218	5524
38	220	5426
39	222	5329
40	224	5245
41	226	5162
42	228	5082
43	230	5008
44	232	4940
45	234	4871
46	237	4805
47	239	4745
48	241	4683
49	243	4624
50	245	4566
51	247	4511
52	249	4460
53	251	4406
54	253	4354
55	255	4305
56	257	4256
57	259	4215
58	261	4171
59	263	4128
60	265	4085
61	267	4046
62	269	4002
63	271	3964
64	273	3927
65	274	3888
66	276	3853
67	277	3809
68	279	3776
69	281	3742
70	283	3708
71	285	3678
72	287	3650
73	289	3620
74	291	3590
75	292	3561
76	294	3534
77	296	3507
78	298	3482
79	300	3454
80	302	3427
81	304	3410
82	306	3390
83	309	3374
84	310	3347
85	313	3334
86	315	3307
87	316	3282
88	318	3258
89	319	3235
90	321	3207
91	322	3183
92	324	3163
93	325	3141
94	327	3118
95	328	3093
96	329	3071
97	331	3053
98	333	3031
99	334	3010
100	335	2990
101	336	2964
102	338	2945
103	339	2925
104	341	2907
105	342	2889
106	344	2874
107	346	2861
108	348	2848
109	350	2833
110	352	2819
111	353	2804
112	355	2790
113	356	2774
114	358	2759
115	359	2743
116	361	2729
117	363	2715
118	364	2697
119	365	2683
120	367	2669
121	369	2656
122	370	2638
123	371	2625
124	373	2612
125	374	2600
126	376	2586
127	377	2569
128	378	2555
129	379	2542
130	381	2529
131	382	2515
132	383	2501
133	385	2488
134	386	2474
135	387	2461
136	388	2447
137	389	2432
138	390	2418
139	391	2405
140	392	2392
141	393	2379
142	394	2365
143	395	2351
144	396	2338
145	397	2325
146	398	2312
147	399	2299
148	400	2286
149	401	2273
150	401	2260
151	402	2247
152	403	2234
153	404	2221
154	405	2209
155	405	2196
156	406	2184
157	407	2172
158	408	2160
159	409	2149
160	410	2137
161	410	2125
162	411	2114
163	412	2103
164	413	2092
165	414	2081
166	415	2070
167	415	2060
168	416	2049
169	417	2039
170	418	2028
171	419	2018
172	420	2008
173	420	1998
174	421	1988
175	422	1978
176	423	1969
177	424	1959
178	425	1950
179	426	1941
180	426	1930
181	427	1920
182	428	1912
183	429	1903
184	429	1894
185	430	1885
186	431	1876
187	432	1868
188	433	1859
189	434	1850
190	434	1842
191	435	1833
192	436	1825
193	437	1817
194	438	1810
195	439	1802
196	440	1795
197	441	1788
198	442	1781
199	443	1773
200	444	1766
201	445	1760
202	446	1753
203	447	1746
204	448	1740
205	449	1733
206	450	1726
207	452	1721
208	453	1716
209	454	1711
210	455	1704
211	456	1698
212	457	1691
213	458	1685
214	460	1679
215	461	1673
216	462	1667
217	462	1660
218	464	1654
219	465	1648
220	466	1643
221	467	1637
222	468	1631
223	469	1626
224	470	1620
225	471	1614
226	472	1608
227	473	1603
228	474	1597
229	475	1591
230	476	1585
231	477	1579
232	478	1573
233	479	1568
234	480	1562
235	481	1557
236	482	1552
237	483	1547
238	484	1541
239	485	1536
240	486	1530
241	487	1525
242	488	1520
243	489	1515
244	490	1511
245	491	1506
246	492	1501
247	493	1496
248	494	1491
249	495	1486
250	496	1481
251	497	1477
252	498	1472
253	499	1467
254	500	1463
255	501	1458
256	502	1453
257	503	1448
258	504	1444
259	505	1439
260	506	1434
261	507	1430
262	508	1425
263	509	1421
264	510	1416
265	511	1412
266	512	1408
267	514	1403
268	514	1399
269	515	1394
270	516	1390
271	517	1386
272	518	1381
273	519	1377
274	520	1373
275	521	1368
276	522	1364
277	523	1360
278	524	1356
279	525	1352
280	527	1348
281	527	1344
282	528	1340
283	529	1336
284	530	1331
285	531	1327
286	532	1323
287	533	1319
288	534	1315
289	535	1311
290	536	1306
291	537	1303
292	538	1299
293	539	1295
294	540	1291
295	541	1287
296	542	1283
297	543	1279
298	544	1275
299	544	1271
300	545	1267
301	546	1263
302	547	1259
303	548	1255
304	549	1251
305	549	1247
306	550	1243
307	551	1239
308	552	1235
309	553	1231
310	554	1227
311	555	1223
312	555	1220
313	556	1215
314	557	1211
315	558	1207
316	558	1204
317	559	1200
318	560	1196
319	561	1192
320	561	1188
321	562	1184
322	563	1180
323	564	1176
324	564	1173
325	565	1170
326	566	1166
327	567	1163
328	568	1159
329	569	1156
330	570	1152
331	571	1149
332	571	1145
333	572	1141
334	573	1138
335	574	1134
336	575	1131
337	576	1128
338	576	1124
339	577	1121
340	578	1117
341	579	1114
342	580	1111
343	580	1107
344	581	1103
345	582	1100
346	583	1097
347	583	1093
348	584	1090
349	585	1087
350	586	1083
351	586	1080
352	587	1077
353	588	1073
354	589	1070
355	589	1067
356	590	1063
357	591	1060
358	592	1057
359	592	1054
360	593	1050
361	594	1047
362	595	1044
363	595	1041
364	596	1038
365	597	1035
366	598	1031
367	599	1028
368	599	1025
369	600	1022
370	601	1019
371	602	1016
372	602	1013
373	603	1010
374	604	1007
375	605	1004
376	606	1002
377	607	999
378	608	996
379	608	993
380	609	990
381	610	988
382	612	985
383	612	983
384	613	980
385	614	978
386	615	975
387	616	972
388	617	970
389	618	968
390	619	965
391	620	962
392	621	960
393	622	957
394	623	954
395	624	951
396	624	949
397	625	946
398	626	943
399	627	941
400	628	938
401	629	936
402	630	933
403	631	930
404	631	928
405	632	925
406	633	923
407	634	920
408	635	917
409	636	915
410	636	912
411	637	910
412	638	908
413	639	905
414	640	903
415	641	900
416	642	898
417	643	895
418	644	893
419	644	890
420	645	888
421	646	885
422	647	883
423	648	880
424	649	878
425	649	875
426	650	873
427	651	870
428	652	868
429	653	865
430	654	863
431	654	861
432	655	858
433	656	856
434	657	853
435	658	851
436	659	849
437	660	846
438	660	844
439	661	842
440	662	839
441	663	837
442	664	835
443	665	832
444	666	830
445	666	828
446	667	826
447	668	823
448	669	821
449	670	819
450	671	817
451	672	814
452	672	812
453	673	810
454	674	808
455	675	805
456	676	803
457	677	801
458	677	799
459	678	796
460	679	794
461	680	792
462	682	791
463	683	789
464	684	787
465	685	785
466	686	782
467	686	780
468	687	778
469	688	776
470	689	774
471	690	772
472	691	770
473	692	767
474	692	765
475	693	763
476	694	761
477	695	759
478	696	757
479	697	755
480	697	753
481	698	750
482	699	748
483	700	746
484	701	744
485	702	742
486	703	740
487	703	738
488	704	736
489	705	734
490	706	732
491	707	730
492	708	728
493	708	726
494	709	724
495	710	722
496	711	720
497	712	717
498	713	715
499	713	713
500	714	711
501	715	709
502	716	707
503	716	705
504	717	703
505	718	701
506	719	699
507	720	697
508	720	695
509	721	693
510	722	691
511	723	689
512	724	687
513	725	685
514	726	683
515	727	681
516	727	679
517	728	678
518	729	676
519	730	674
520	731	672
521	732	670
522	732	668
523	733	666
524	734	664
525	735	662
526	736	660
527	737	659
528	738	657
529	739	655
530	740	653
531	740	651
532	741	649
533	742	648
534	743	646
535	744	644
536	745	642
537	745	640
538	746	638
539	747	636
540	748	634
541	749	633
542	750	631
543	750	629
544	751	627
545	752	625
546	753	624
547	754	622
548	755	620
549	756	618
550	756	616
551	757	615
552	758	613
553	759	611
554	760	609
555	761	607
556	762	606
557	762	604
558	763	602
559	764	600
560	765	598
561	766	597
562	767	595
563	768	594
564	769	592
565	771	591
566	771	589
567	772	587
568	773	585
569	774	584
570	775	582
571	776	580
572	776	578
573	777	577
574	778	575
575	779	573
576	780	572
577	781	570
578	782	568
579	783	567
580	784	565
581	784	563
582	785	562
583	786	560
584	787	558
585	788	556
586	789	555
587	790	553
588	790	551
589	791	550
590	792	548
591	793	546
592	794	545
593	795	543
594	795	541
595	796	540
596	797	538
597	798	536
598	799	535
599	800	533
600	801	531
601	802	530
602	802	528
603	803	526
604	804	525
605	805	523
606	806	521
607	807	520
608	808	518
609	808	517
610	810	515
611	811	514
612	812	512
613	812	511
614	813	509
615	814	507
616	815	506
617	816	504
618	817	502
619	817	501
620	818	499
621	819	498
622	820	496
623	821	494
624	822	493
625	822	491
626	823	489
627	824	488
628	825	486
629	826	485
630	826	483
631	827	481
632	828	480
633	829	478
634	830	477
635	831	475
636	832	474
637	833	472
638	833	471
639	834	469
640	835	467
641	836	466
642	837	464
643	838	463
644	839	461
645	839	460
