iter	Passed	Remaining
0	210	209839
1	212	106165
2	215	71683
3	217	54263
4	220	43833
5	222	36904
6	224	31877
7	228	28352
8	230	25368
9	232	22970
10	233	21001
11	234	19344
12	236	17932
13	237	16728
14	238	15657
15	242	14926
16	245	14208
17	247	13513
18	250	12915
19	251	12344
20	254	11875
21	257	11456
22	258	10999
23	260	10579
24	261	10202
25	262	9844
26	263	9509
27	265	9200
28	266	8910
29	267	8638
30	268	8396
31	270	8189
32	272	7971
33	273	7764
34	274	7558
35	274	7363
36	276	7185
37	277	7020
38	278	6859
39	279	6703
40	280	6556
41	281	6417
42	282	6294
43	284	6183
44	286	6072
45	287	5958
46	288	5849
47	289	5743
48	290	5643
49	291	5546
50	292	5451
51	294	5364
52	295	5277
53	296	5199
54	298	5136
55	300	5062
56	301	4988
57	302	4914
58	303	4847
59	305	4782
60	306	4720
61	308	4664
62	309	4607
63	311	4549
64	312	4499
65	313	4442
66	315	4390
67	316	4338
68	317	4286
69	318	4235
70	320	4187
71	321	4141
72	322	4094
73	323	4050
74	324	4005
75	326	3964
76	327	3930
77	329	3890
78	330	3848
79	331	3808
80	332	3769
81	333	3732
82	333	3689
83	334	3651
84	336	3622
85	337	3588
86	338	3552
87	339	3518
88	340	3485
89	341	3453
90	343	3428
91	344	3397
92	345	3367
93	346	3338
94	347	3309
95	348	3279
96	349	3249
97	350	3222
98	351	3195
99	351	3167
100	353	3145
101	354	3120
102	355	3094
103	356	3070
104	358	3051
105	359	3029
106	360	3006
107	361	2984
108	362	2961
109	363	2940
110	364	2918
111	365	2895
112	366	2875
113	367	2854
114	368	2834
115	369	2814
116	370	2793
117	371	2776
118	372	2760
119	374	2745
120	375	2727
121	376	2708
122	377	2689
123	378	2672
124	379	2654
125	380	2637
126	381	2619
127	382	2602
128	383	2586
129	384	2571
130	385	2555
131	386	2542
132	388	2533
133	389	2518
134	390	2503
135	391	2488
136	392	2474
137	393	2460
138	394	2446
139	396	2432
140	397	2418
141	397	2403
142	398	2390
143	399	2376
144	400	2363
145	402	2352
146	403	2342
147	404	2329
148	405	2316
149	406	2304
150	407	2292
151	408	2280
152	409	2268
153	410	2256
154	412	2246
155	413	2235
156	414	2225
157	415	2215
158	417	2207
159	419	2199
160	419	2188
161	421	2178
162	422	2168
163	423	2159
164	425	2151
165	426	2142
166	427	2133
167	429	2125
168	432	2124
169	433	2117
170	435	2110
171	436	2101
172	437	2091
173	438	2082
174	439	2073
175	440	2063
176	441	2054
177	443	2046
178	444	2038
179	445	2029
180	446	2021
181	448	2015
182	449	2008
183	450	1999
184	451	1991
185	453	1982
186	454	1975
187	455	1967
188	456	1960
189	457	1951
190	458	1943
191	459	1934
192	460	1926
193	462	1919
194	463	1914
195	464	1906
196	465	1898
197	466	1890
198	467	1883
199	468	1875
200	469	1867
201	470	1860
202	471	1852
203	472	1844
204	473	1837
205	474	1829
206	475	1822
207	476	1815
208	478	1811
209	479	1804
210	480	1797
211	481	1790
212	482	1783
213	483	1776
214	484	1770
215	485	1763
216	486	1756
217	487	1749
218	488	1742
219	489	1736
220	490	1729
221	491	1722
222	493	1718
223	494	1713
224	495	1707
225	496	1701
226	498	1695
227	499	1689
228	500	1684
229	501	1678
230	502	1672
231	503	1666
232	504	1660
233	505	1655
234	506	1650
235	508	1646
236	509	1641
237	510	1635
238	511	1629
239	512	1624
240	514	1618
241	515	1613
242	516	1607
243	517	1602
244	518	1596
245	519	1591
246	520	1586
247	521	1580
248	523	1577
249	524	1573
250	525	1567
251	526	1562
252	527	1557
253	528	1551
254	529	1546
255	530	1541
256	531	1535
257	532	1530
258	533	1525
259	534	1520
260	535	1515
261	536	1511
262	538	1508
263	539	1504
264	540	1499
265	541	1494
266	542	1490
267	544	1486
268	545	1482
269	546	1477
270	547	1472
271	548	1467
272	549	1463
273	550	1458
274	551	1454
275	553	1451
276	554	1447
277	555	1442
278	556	1438
279	557	1433
280	558	1430
281	559	1425
282	561	1421
283	561	1416
284	562	1412
285	563	1408
286	564	1403
287	565	1399
288	567	1395
289	568	1392
290	569	1388
291	570	1383
292	571	1379
293	572	1375
294	573	1371
295	574	1367
296	575	1363
297	577	1359
298	578	1355
299	579	1351
300	580	1347
301	581	1343
302	583	1341
303	584	1337
304	585	1333
305	586	1329
306	587	1326
307	588	1321
308	589	1317
309	590	1313
310	591	1310
311	592	1306
312	593	1303
313	594	1299
314	595	1295
315	597	1292
316	599	1292
317	601	1289
318	602	1285
319	603	1282
320	605	1280
321	606	1277
322	608	1276
323	610	1272
324	611	1269
325	612	1267
326	615	1266
327	616	1263
328	618	1262
329	620	1259
330	621	1256
331	623	1253
332	624	1250
333	625	1246
334	626	1243
335	628	1242
336	630	1240
337	631	1237
338	632	1233
339	634	1230
340	635	1227
341	636	1224
342	637	1220
343	638	1217
344	639	1213
345	640	1210
346	641	1207
347	643	1205
348	645	1203
349	646	1200
350	647	1197
351	648	1194
352	650	1191
353	651	1189
354	652	1186
355	654	1183
356	655	1180
357	657	1179
358	659	1178
359	661	1175
360	662	1172
361	663	1169
362	664	1166
363	665	1163
364	667	1161
365	668	1158
366	670	1155
367	671	1153
368	673	1152
369	675	1149
370	676	1146
371	677	1144
372	679	1141
373	680	1139
374	682	1136
375	683	1133
376	684	1130
377	685	1127
378	686	1124
379	687	1121
380	689	1120
381	690	1117
382	691	1114
383	693	1112
384	694	1109
385	695	1106
386	697	1104
387	698	1102
388	700	1099
389	701	1097
390	703	1095
391	704	1093
392	705	1090
393	706	1087
394	708	1084
395	709	1081
396	710	1078
397	711	1075
398	712	1073
399	713	1070
400	714	1067
401	716	1066
402	719	1065
403	720	1062
404	721	1060
405	722	1057
406	724	1055
407	725	1053
